institution_name,account_id,product_family,holding_name,holding_key,unit_price,quantity,gross_amount,quantity_reported,gross_amount_reported,currency,valued_at,data_quality_flags
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,variable_incomes,BBDC4,BBDC4,32.2000000000,16660.0000000000,536452.0000000000,5869.0000000000,188980.0400000000,BRL,2026-08-20 09:03:33,[stale:quantity]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,variable_incomes,WEGE3,WEGE3,39.8400000000,6231.0000000000,248243.0400000000,6231.0000000000,248243.0400000000,BRL,2026-08-20 09:03:33,[]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2020-11-24|2023-11-01,1007.5000000000,229.8020000000,231525.5150000000,229.8020000000,231525.5200000000,BRL,2026-08-20 09:03:33,[]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2023-08-10|2026-08-01,1004.0700000000,226.4070000000,227328.4764900000,226.4070000000,227328.4800000000,BRL,2026-08-20 09:03:33,[]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2024-07-02|2027-07-01,1007.2800000000,220.2870000000,221890.6893600000,220.2870000000,221890.6900000000,BRL,2026-08-20 09:03:33,[]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2024-03-12|2027-03-01,1008.4400000000,213.3290000000,215129.4967600000,213.3290000000,215129.5000000000,BRL,2026-08-20 09:03:33,[movements:incomplete]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2024-05-22|2027-05-01,1002.8900000000,208.0370000000,208638.2269300000,208.0370000000,208638.2300000000,BRL,2026-08-20 09:03:33,[]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2021-01-28|2024-01-01,1001.7200000000,201.7250000000,202071.9670000000,201.7250000000,202071.9700000000,BRL,2026-08-20 09:03:33,[]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,funds,SPX NIMITZ ESTRUTURAL FIC FIM,34177667000185,38.7000000000,4777.4025974000,184885.4805193800,4777.4025974000,184882.7600000000,BRL,2026-08-20 09:03:33,[]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2026-05-31|2029-05-01,1008.0600000000,178.9930000000,180435.6835800000,178.9930000000,180435.6800000000,BRL,2026-08-20 09:03:33,[movements:incomplete]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2020-10-23|2023-10-01,1007.8000000000,177.8120000000,179198.9336000000,177.8120000000,179198.9300000000,BRL,2026-08-20 09:03:33,[]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2025-11-10|2028-11-01,1006.7300000000,167.7860000000,168915.1997800000,167.7860000000,168915.2000000000,BRL,2026-08-20 09:03:33,[]
