institution_name,account_id,product_family,holding_name,holding_key,unit_price,quantity,gross_amount,quantity_reported,gross_amount_reported,currency,valued_at,data_quality_flags
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,variable_incomes,BPAC11,BPAC11,47.5008,14289.0,678738.69,10328.0,490581.44,BRL,2026-08-21 10:18:47,"[quantity_reported:stale, investment_id:multiple]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,treasure_titles,Tesouro Educa+ 2031,Tesouro Educa+ 2031,2257.0718,247.09,557699.86,200.77,453152.79,BRL,2026-08-21 10:18:47,"[quantity_reported:stale, investment_id:multiple]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,variable_incomes,WEGE3,WEGE3,39.724,13752.0,546283.98,11746.0,466592.37,BRL,2026-08-21 10:18:47,"[quantity_reported:stale, investment_id:multiple]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,variable_incomes,VALE3,VALE3,17.5466,29899.0,524624.81,25684.0,450658.79,BRL,2026-08-21 10:18:47,"[quantity_reported:stale, investment_id:multiple]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,funds,TESOURO SELIC SIMPLES FIRF,32915987000180,62.8601,8098.218719,509054.92,7382.928,464123.94,BRL,2026-08-21 10:18:47,"[quantity_reported:stale, investment_id:multiple]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,treasure_titles,Tesouro Renda+ 2044,Tesouro Renda+ 2044,2004.8243,224.94,450965.18,189.2,379312.76,BRL,2026-08-21 10:18:47,"[quantity_reported:stale, investment_id:multiple]"
Itau,3343bc26-23e3-5745-9c2a-932d111e9079,variable_incomes,HASH11,HASH11,62.67,5940.0,372259.8,3876.0,242899.23,BRL,2026-08-21 10:22:43,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,variable_incomes,PETR4,PETR4,10.0027,34299.0,343081.66,31949.0,319618.49,BRL,2026-08-21 10:18:47,"[quantity_reported:stale, investment_id:multiple]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,variable_incomes,BBDC4,BBDC4,32.7315,10329.0,338084.0,10329.0,338107.34,BRL,2026-08-21 10:18:47,[investment_id:multiple]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,variable_incomes,HASH11,HASH11,63.7736,4618.0,294506.32,4618.0,294502.73,BRL,2026-08-21 10:18:47,[investment_id:multiple]
